gae'['90.07+0.28', '87.69+0.38']
gae-nd'['96.7+0.89', '95.56+1.56']
vgae'['89.69+0.43', '86.82+0.58']
vgae-nd'['96.86+0.31', '95.84+0.49']
lgae'['80.04+0.59', '72.98+0.82']
lgae-nd'['98.0+0.34', '97.7+0.48']
sage'['98.25+0.07', '98.16+0.08']
sage-nd'['98.66+0.05', '98.59+0.06']
lrga'['50.0+0.0', '50.0+0.0']
lrga-nd'['97.66+0.12', '97.62+0.12']
arga'['90.21+0.47', '87.84+0.55']
arga-nd'['92.65+14.99', '92.01+14.78']
arvga'['89.79+0.29', '87.1+0.28']
arvga-nd'['96.94+0.26', '96.01+0.45']
