gae'['97.94+0.79', '97.19+1.27']
gae-nd'['98.23+0.58', '97.55+1.09']
vgae'['97.5+1.06', '97.12+2.06']
vgae-nd'['98.22+0.51', '98.02+0.97']
lgae'['97.7+0.57', '95.49+1.94']
lgae-nd'['98.87+0.3', '98.9+0.69']
sage'['98.78+0.31', '98.59+0.35']
sage-nd'['98.88+0.48', '98.68+0.82']
arga'['96.98+1.04', '96.15+1.01']
arga-nd'['97.97+0.7', '97.15+1.54']
arvga'['98.39+0.51', '97.76+0.78']
arvga-nd'['98.34+0.5', '98.54+0.47']
lrga'['74.66+2.69', '66.66+2.3']
lrga-nd'['96.19+0.55', '95.69+1.06']

